Processing Dashboard opened

Checking Row 1
Document opened
Header 0: #
Header 1: Product Description
Header 2: FSN Code
Header 3: Article Code
Header 4: Unit Price
Header 5: Quantity
Valid document found.
Quantity column index = 5
Total Line Item Rows = 369
Row 1 Quantity = 8.0
Row 2 Quantity = 10.0
Row 3 Quantity = 16.0
Row 4 Quantity = 1.0
Row 5 Quantity = 3.0
Row 6 Quantity = 3.0
Row 7 Quantity = 8.0
Row 8 Quantity = 5.0
Row 9 Quantity = 1.0
Row 10 Quantity = 18.0
Row 11 Quantity = 47.0
Row 12 Quantity = 72.0
Row 13 Quantity = 600.0
Row 14 Quantity = 2.0
Row 15 Quantity = 8.0
Row 16 Quantity = 1.0
Row 17 Quantity = 16.0
Row 18 Quantity = 21.0
Row 19 Quantity = 2.0
Row 20 Quantity = 3.0
Row 21 Quantity = 4.0
Row 22 Quantity = 144.0
Row 23 Quantity = 4.0
Row 24 Quantity = 57.0
Row 25 Quantity = 2.0
Row 26 Quantity = 1.0
Row 27 Quantity = 16.0
Row 28 Quantity = 21.0
Row 29 Quantity = 33.0
Row 30 Quantity = 84.0
Row 31 Quantity = 150.0
Row 32 Quantity = 6.0
Row 33 Quantity = 6.0
Row 34 Quantity = 24.0
Row 35 Quantity = 10.0
Row 36 Quantity = 3.0
Row 37 Quantity = 64.0
Row 38 Quantity = 64.0
Row 39 Quantity = 8.0
Row 40 Quantity = 48.0
Row 41 Quantity = 2.0
Row 42 Quantity = 50.0
Row 43 Quantity = 1.0
Row 44 Quantity = 28.0
Row 45 Quantity = 112.0
Row 46 Quantity = 1.0
Row 47 Quantity = 84.0
Row 48 Quantity = 8.0
Row 49 Quantity = 137.0
Row 50 Quantity = 132.0
Row 51 Quantity = 1.0
Row 52 Quantity = 6.0
Row 53 Quantity = 4.0
Row 54 Quantity = 2.0
Row 55 Quantity = 11.0
Row 56 Quantity = 264.0
Row 57 Quantity = 5.0
Row 58 Quantity = 58.0
Row 59 Quantity = 41.0
Row 60 Quantity = 4.0
Row 61 Quantity = 17.0
Row 62 Quantity = 10.0
Row 63 Quantity = 180.0
Row 64 Quantity = 2.0
Row 65 Quantity = 40.0
Row 66 Quantity = 150.0
Row 67 Quantity = 3.0
Row 68 Quantity = 60.0
Row 69 Quantity = 7.0
Row 70 Quantity = 2.0
